uEst,uVal,yEst,yVal,Ts
2.2577,2.5448,3.4978,3.9706,
2.3353,2.6585,3.4853,3.933,
2.4217,2.7977,3.467,3.9568,
2.5167,2.9579,3.4307,3.9474,
2.6197,3.1329,3.3898,3.9251,
2.7305,3.3158,3.3819,3.9626,
2.8484,3.4991,3.3574,3.9498,
2.9728,3.6759,3.3568,3.933,
3.1028,3.8402,3.3437,3.9715,
3.2373,3.9878,3.3617,3.9382,
3.3754,4.1162,3.3788,3.9788,
3.5159,4.2249,3.3526,3.98,
3.6577,4.3154,3.3788,3.9641,
3.7999,4.391,3.3928,4.0078,
3.9418,4.4558,3.3822,4.0136,
4.0829,4.5147,3.3938,4.0404,
4.2233,4.5723,3.4319,4.0835,
4.3631,4.6324,3.4307,4.1082,
4.503,4.6978,3.4548,4.1299,
4.6437,4.7695,3.4948,4.1427,
4.786,4.8467,3.4942,4.1888,
4.9307,4.9271,3.5454,4.2065,
5.0783,5.0068,3.5491,4.2864,
5.2289,5.0811,3.5891,4.4161,
5.3818,5.1447,3.6785,4.5632,
5.5359,5.1926,3.7542,4.9242,
5.6891,5.2205,3.8045,5.3851,
5.8387,5.2256,3.9318,5.91,
5.9813,5.2063,4.0624,6.4178,
6.113,5.1629,4.3795,6.8106,
6.2296,5.0977,4.9627,7.0599,
6.3271,5.014,5.5569,7.3883,
6.4017,4.9163,6.2564,7.6602,
6.4505,4.8097,6.9067,8.0313,
6.4712,4.699,7.3672,8.396,
6.4628,4.5888,7.7166,8.7576,
6.4255,4.4821,8.3511,9.0692,
6.3607,4.3808,8.959,9.313,
6.271,4.2853,9.6655,9.5889,
6.1599,4.1944,10,9.7552,
6.0318,4.1055,10,9.9921,
5.8913,4.0154,10,10,
5.743,3.9202,10,10,
5.5911,3.8164,10,10,
5.4394,3.7009,10,10,
5.2905,3.5717,10,10,
5.146,3.4282,10,10,
5.0066,3.2711,10,10,
4.8716,3.1026,10,10,
4.7396,2.926,10,10,
4.6088,2.7453,10,10,
4.4767,2.5652,10,10,
4.341,2.39,10,10,
4.1998,2.2234,10,10,
4.0516,2.0684,10,9.9942,
3.8959,1.9268,10,9.9625,
3.7328,1.7992,10,9.8898,
3.5636,1.6851,10,9.8648,
3.39,1.5829,10,9.758,
3.2145,1.4908,10,9.7037,
3.04,1.4066,10,9.6094,
2.8694,1.3285,10,9.5669,
2.7053,1.2552,10,9.4424,
2.5502,1.1863,10,9.3384,
2.4059,1.1222,10,9.1821,
2.2737,1.0645,10,9.0655,
2.1542,1.0153,9.9954,8.8995,
2.0478,0.97722,9.9408,8.7271,
1.9544,0.95291,9.9066,8.5742,
1.8739,0.94459,9.8502,8.3566,
1.8063,0.95364,9.7455,8.1534,
1.7519,0.98038,9.7043,8.0157,
1.7115,1.0238,9.6115,7.8091,
1.6861,1.0816,9.5257,7.6236,
1.6772,1.1503,9.4208,7.4557,
1.6867,1.2256,9.3155,7.2747,
1.7161,1.3029,9.2187,7.1109,
1.7669,1.3774,9.0619,6.9647,
1.8398,1.4454,8.9621,6.7837,
1.9346,1.5039,8.797,6.5951,
2.0502,1.5518,8.6688,6.3574,
2.184,1.5894,8.5928,6.1544,
2.3323,1.6188,8.4344,5.9072,
2.4905,1.6435,8.3145,5.6313,
2.6531,1.6684,8.1714,5.0045,
2.8143,1.6986,8.0557,4.8165,
2.9684,1.7393,7.9556,4.6355,
3.1104,1.7951,7.8531,4.4961,
3.2363,1.8692,7.7319,4.374,
3.3437,1.9629,7.6739,4.2824,
3.4317,2.0759,7.5918,4.1918,
3.5013,2.2054,7.4795,4.103,
3.5554,2.3469,7.4212,4.0035,
3.5979,2.4943,7.3648,3.9397,
3.6338,2.6407,7.3242,3.8854,
3.6686,2.7788,7.315,3.8116,
3.7072,2.9018,7.2647,3.7758,
3.7539,3.0041,7.2134,3.7173,
3.8115,3.0817,7.2335,3.684,
3.8808,3.1329,7.1963,3.6306,
3.9607,3.158,7.1698,3.6049,
4.0483,3.1598,7.1881,3.6056,
4.1385,3.1426,7.189,3.5866,
4.2252,3.1123,7.1829,3.6059,
4.3017,3.0752,7.1386,3.5961,
4.3612,3.0376,7.1792,3.6208,
4.3978,3.0051,7.1856,3.5937,
4.4069,2.9817,7.1865,3.6016,
4.3864,2.9695,7.193,3.6407,
4.3361,2.9687,7.2186,3.6431,
4.2588,2.9771,7.2137,3.6513,
4.1593,2.9908,7.2531,3.6669,
4.0446,3.0046,7.2918,3.6843,
3.923,3.0123,7.2979,3.6788,
3.8032,3.0079,7.3993,3.6898,
3.6938,2.986,7.5079,3.7017,
3.6021,2.9427,7.5918,3.7118,
3.5335,2.8758,7.6739,3.7285,
3.4911,2.7855,7.7154,3.735,
3.475,2.6742,7.8604,3.7694,
3.4828,2.5463,7.9168,3.7874,
3.5093,2.4082,7.959,3.7935,
3.5476,2.267,8.0584,3.7939,
3.5894,2.1307,8.1097,3.8158,
3.626,2.0067,8.2153,3.8296,
3.6492,1.9014,8.3023,3.8207,
3.6521,1.8196,8.3999,3.8482,
3.6299,1.764,8.5415,3.8653,
3.5804,1.735,8.6163,3.8524,
3.504,1.731,8.6914,3.8695,
3.404,1.7481,8.7808,3.8683,
3.2858,1.781,8.7836,3.8573,
3.1569,1.8233,8.8211,3.8436,
3.0256,1.8685,8.8528,3.8454,
2.9006,1.9102,8.8248,3.8259,
2.7898,1.9432,8.8531,3.8051,
2.6998,1.9636,8.869,3.792,
2.6354,1.9693,8.8965,3.81,
2.5989,1.9602,8.9078,3.7942,
2.5903,1.9379,8.8833,3.7835,
2.6073,1.9055,8.8739,3.7414,
2.6456,1.8673,8.9078,3.72,
2.6996,1.8282,8.8666,3.7157,
2.7629,1.7933,8.9029,3.6822,
2.8292,1.7671,8.8589,3.6669,
2.8927,1.7533,8.8498,3.6635,
2.9485,1.7545,8.8354,3.6184,
2.9934,1.7719,8.7689,3.5824,
3.0259,1.8051,8.793,3.5811,
3.0457,1.8528,8.7588,3.5515,
3.0542,1.9123,8.7005,3.4905,
3.0537,1.9805,8.6835,3.4746,
3.0468,2.054,8.6615,3.4289,
3.0366,2.1291,8.5962,3.3953,
3.0254,2.2029,8.5953,3.3519,
3.0149,2.2731,8.5415,3.3263,
3.006,2.338,8.4952,3.3159,
2.9985,2.3969,8.5077,3.2741,
2.9913,2.4497,8.4561,3.2558,
2.9829,2.4971,8.439,3.239,
2.9712,2.5402,8.3789,3.2421,
2.9545,2.58,8.3862,3.2284,
2.9315,2.6175,8.3105,3.1957,
2.9017,2.6536,8.3291,3.2241,
2.8657,2.6885,8.2974,3.2308,
2.8249,2.7219,8.2611,3.232,
2.7819,2.7532,8.1973,3.2317,
2.7401,2.7813,8.1851,3.2305,
2.7029,2.8049,8.1219,3.2177,
2.674,2.8226,8.1241,3.2375,
2.6562,2.8333,8.063,3.2464,
2.6517,2.8364,8.063,3.2567,
2.6613,2.8318,7.9974,3.2787,
2.6843,2.8198,7.9883,3.315,
2.7189,2.8017,7.9156,3.3205,
2.7618,2.7792,7.9214,3.3217,
2.8089,2.7544,7.8827,3.3687,
2.8556,2.7297,7.8494,3.3495,
2.8974,2.7074,7.7911,3.3983,
2.9303,2.6897,7.7603,3.3931,
2.9514,2.6781,7.6895,3.4075,
2.9591,2.6736,7.6562,3.4276,
2.9534,2.6762,7.6464,3.4447,
2.9356,2.6853,7.6419,3.4789,
2.9087,2.6994,7.6065,3.478,
2.8767,2.7165,7.5796,3.482,
2.8441,2.7339,7.5116,3.5073,
2.8153,2.749,7.5262,3.5369,
2.7946,2.7592,7.4807,3.5235,
2.785,2.7621,7.4209,3.5702,
2.7885,2.756,7.4203,3.5488,
2.8053,2.7401,7.388,3.5662,
2.8342,2.7143,7.3785,3.6147,
2.8727,2.6794,7.3089,3.6226,
2.917,2.6374,7.3208,3.658,
2.9628,2.5906,7.3062,3.6428,
3.0059,2.5422,7.2378,3.6892,
3.0423,2.4954,7.2168,3.6742,
3.0689,2.4538,7.1991,3.687,
3.0841,2.4205,7.1655,3.7395,
3.0874,2.3983,7.1572,3.7578,
3.0801,2.3891,7.1783,3.753,
3.0646,2.3944,7.1502,3.7505,
3.0443,2.4145,7.1075,3.7704,
3.0232,2.4488,7.1289,3.8076,
3.0052,2.496,7.1185,3.8036,
2.9938,2.5542,7.0916,3.7856,
2.9914,2.6209,7.0489,3.7966,
2.9991,2.6932,7.0733,3.8027,
3.0166,2.7683,7.0507,3.8216,
3.042,2.8435,7.0575,3.8064,
3.0718,2.9163,7.0089,3.8399,
3.1019,2.9849,7.033,3.8488,
3.1274,3.0478,6.9818,3.8515,
3.1434,3.1044,7.0095,3.8686,
3.1455,3.1544,6.9702,3.8814,
3.1303,3.1983,6.9744,3.8677,
3.0959,3.2366,7.0059,3.882,
3.042,3.2705,7.0034,3.8885,
2.9696,3.301,6.9683,3.937,
2.8817,3.3292,6.9549,3.9165,
2.7822,3.356,6.9622,3.94,
2.6759,3.3819,6.9839,3.9715,
2.5678,3.4073,6.9815,3.9849,
2.4628,3.4319,6.979,3.9928,
2.365,3.4554,6.9644,4.0191,
2.2774,3.4771,6.9726,4.0682,
2.2016,3.4961,6.9207,4.0945,
2.1379,3.5115,6.9546,4.1094,
2.0851,3.5227,6.8994,4.121,
2.0409,3.5291,6.896,4.1558,
2.0022,3.5308,6.8426,4.175,
1.9657,3.5278,6.8048,4.1836,
1.9277,3.521,6.7727,4.2422,
1.8856,3.5115,6.7526,4.2446,
1.8372,3.5007,6.69,4.2895,
1.7815,3.4902,6.6763,4.3789,
1.7187,3.4818,6.6201,4.3877,
1.65,3.4769,6.5545,4.5046,
1.5777,3.4768,6.4663,4.562,
1.5047,3.4825,6.397,4.6255,
1.4342,3.4941,6.2893,4.695,
1.3694,3.5114,6.2075,4.7793,
1.3132,3.5337,6.0888,4.8855,
1.268,3.5596,5.949,4.9734,
1.2353,3.5874,5.8526,5.0259,
1.216,3.6153,5.6716,5.1461,
1.2099,3.6413,5.5364,5.1733,
1.2166,3.6637,4.9975,5.2911,
1.235,3.6813,4.8727,5.3481,
1.264,3.6932,4.7405,5.4229,
1.3025,3.6992,4.6307,5.534,
1.3497,3.6999,4.4973,5.6744,
1.4051,3.6962,4.4067,5.7452,
1.4687,3.6899,4.2733,5.8328,
1.5411,3.6828,4.2174,5.9161,
1.6228,3.677,4.1265,6.0613,
1.7145,3.6745,4.0456,6.1517,
1.8168,3.6769,3.9297,6.2271,
1.9298,3.6855,3.85,6.347,
2.053,3.7006,3.771,6.4154,
2.1851,3.7221,3.7078,6.5579,
2.3242,3.749,3.6223,6.6299,
2.4677,3.7798,3.5546,6.7169,
2.6123,3.8122,3.5293,6.7825,
2.7548,3.8441,3.4881,6.8814,
2.8916,3.8729,3.4136,7.0043,
3.02,3.8964,3.3892,7.1426,
3.1376,3.913,3.3587,7.2598,
3.2431,3.9214,3.3599,7.4502,
3.3361,3.9214,3.3611,7.5488,
3.4176,3.9134,3.3568,7.7493,
3.4893,3.8984,3.3602,7.94,
3.5538,3.8784,3.3724,8.0459,
3.6142,3.8553,3.3925,8.1973,
3.6735,3.8316,3.3767,8.3917,
3.7345,3.8093,3.4179,8.5034,
3.7993,3.7903,3.4463,8.6081,
3.8689,3.7756,3.4615,8.7527,
3.9432,3.7655,3.4853,8.8714,
4.0209,3.7595,3.4966,8.9212,
4.0992,3.7561,3.5427,9.0228,
4.1747,3.7531,3.5457,9.1189,
4.2432,3.7475,3.5708,9.2401,
4.3004,3.7362,3.5918,9.3188,
4.3421,3.716,3.6571,9.396,
4.3648,3.6838,3.6947,9.4409,
4.3662,3.6374,3.763,9.5377,
4.3453,3.575,3.8399,9.5645,
4.3023,3.4962,3.9214,9.6359,
4.2393,3.4015,3.9528,9.6381,
4.1592,3.2925,4.0151,9.6841,
4.0663,3.1718,4.0783,9.6799,
3.9651,3.0429,4.099,9.668,
3.8605,2.9098,4.1707,9.6817,
3.7569,2.7767,4.2394,9.6967,
3.658,2.6479,4.3331,9.6841,
3.5661,2.5274,4.4363,9.7012,
3.4825,2.4184,4.5898,9.6878,
3.4067,2.3236,4.7314,9.628,
3.3373,2.2448,4.8684,9.5938,
3.2713,2.1827,4.9761,9.566,
3.2053,2.1374,5.1876,9.4879,
3.1352,2.1081,5.2374,9.4601,
3.0573,2.0936,5.2969,9.4205,
2.9683,2.0919,5.4394,9.3179,
2.8661,2.1011,5.5483,9.2554,
2.7495,2.1192,5.6533,9.1992,
2.6192,2.1443,5.7339,9.1031,
2.4771,2.1745,5.8273,9.0689,
2.3266,2.2084,5.91,8.9468,
2.1722,2.2447,5.9512,8.8641,
2.0192,2.2824,6.0076,8.8128,
1.8733,2.3208,6.058,8.7179,
1.74,2.3592,6.098,8.598,
1.6242,2.3969,6.1602,8.4906,
1.5299,2.4332,6.166,8.439,
1.4598,2.4675,6.2094,8.3514,
1.4152,2.499,6.2237,8.2373,
1.3957,2.527,6.1889,8.117,
1.3998,2.5507,6.1968,8.0548,
1.4244,2.5696,6.22,7.9641,
1.4658,2.5833,6.1938,7.9059,
1.5194,2.5916,6.1801,7.8054,
1.5807,2.5948,6.1401,7.753,
1.6454,2.5933,6.1273,7.6629,
1.7098,2.5881,6.0235,7.5662,
1.7709,2.5804,5.9014,7.5463,
1.8273,2.5714,5.7641,7.4316,
1.8781,2.5627,5.6292,7.4163,
1.9242,2.5554,5.5291,7.337,
1.9671,2.5507,5.3945,7.2943,
2.009,2.5493,5.2822,7.1987,
2.0529,2.5514,5.2123,7.1365,
2.1015,2.5568,5.1186,7.1188,
2.1574,2.5645,4.9895,7.0367,
2.2227,2.5732,4.9078,6.9625,
2.2983,2.5812,4.8318,6.9277,
2.3842,2.5865,4.7622,6.8844,
2.4794,2.5869,4.6856,6.7938,
2.5815,2.5806,4.6548,6.7446,
2.6873,2.5658,4.5916,6.73,
2.7926,2.5415,4.5263,6.6693,
2.893,2.507,4.5101,6.6079,
2.9839,2.4626,4.4381,6.5594,
3.0609,2.4091,4.4189,6.4834,
3.1205,2.348,4.414,6.3992,
3.1599,2.2814,4.3673,6.3497,
3.1778,2.2117,4.3511,6.3354,
3.174,2.1413,4.3642,6.2588,
3.1498,2.0728,4.3255,6.2063,
3.1076,2.0084,4.3377,6.1065,
3.0509,1.9496,4.3209,6.0394,
2.9838,1.8974,4.3441,6.0027,
2.9107,1.8522,4.3413,5.8929,
2.836,1.8135,4.3182,5.805,
2.7633,1.7801,4.345,5.7119,
2.6956,1.7504,4.3374,5.6185,
2.6347,1.7224,4.3471,5.5496,
2.581,1.694,4.313,5.0567,
2.5337,1.6635,4.3462,4.9819,
2.491,1.6293,4.3383,4.9014,
2.45,1.5907,4.3227,4.8217,
2.4074,1.5478,4.3401,4.7304,
2.3597,1.5016,4.3163,4.6893,
2.304,1.4541,4.3267,4.6111,
2.2379,1.4081,4.3471,4.5095,
2.1603,1.367,4.3282,4.45,
2.0713,1.3349,4.3374,4.3792,
1.9727,1.3157,4.3194,4.2901,
1.8676,1.3133,4.334,4.2272,
1.7601,1.3309,4.323,4.1674,
1.6553,1.3709,4.3032,4.1088,
1.5588,1.4345,4.2986,4.0111,
1.4758,1.5217,4.247,3.9376,
1.4108,1.6311,4.2425,3.8543,
1.3675,1.7601,4.1894,3.8054,
1.3475,1.9046,4.164,3.7264,
1.3513,2.0601,4.1479,3.6733,
1.3771,2.2211,4.0819,3.5882,
1.4216,2.3823,4.0697,3.5308,
1.4803,2.5383,4.0209,3.4618,
1.5474,2.6845,3.9797,3.4438,
1.6171,2.8172,3.9199,3.3715,
1.6834,2.934,3.8695,3.3764,
1.7414,3.0336,3.8164,3.3254,
1.7873,3.1163,3.7566,3.3349,
1.8188,3.1836,3.709,3.3272,
1.8356,3.238,3.6522,3.3257,
1.8389,3.2829,3.5787,3.3147,
1.8316,3.3219,3.5344,3.3111,
1.818,3.3589,3.4878,3.3291,
1.8029,3.3974,3.4401,3.3294,
1.7914,3.4399,3.3901,3.3532,
1.7881,3.4885,3.3523,3.3886,
1.7969,3.5438,3.2952,3.3904,
1.82,3.6053,3.2354,3.4374,
1.8584,3.6718,3.1951,3.4746,
1.9114,3.7407,3.1594,3.4722,
1.9765,3.8093,3.117,3.4978,
2.0501,3.8743,3.0736,3.5708,
2.128,3.9326,3.0346,3.6062,
2.2052,3.9813,3.0043,3.6342,
2.2773,4.0185,2.979,3.6837,
2.3404,4.0429,2.9754,3.7426,
2.3917,4.0542,2.936,3.8003,
2.4299,4.0533,2.9256,3.8808,
2.455,4.0418,2.9149,3.9284,
2.4685,4.0219,2.9189,3.9516,
2.4728,3.9962,2.9409,3.9879,
2.4711,3.9676,2.9116,4.0475,
2.4669,3.9385,2.9397,4.121,
2.4634,3.9108,2.9174,4.1659,
2.463,3.8859,2.9366,4.1973,
2.4672,3.864,2.9552,4.2376,
2.476,3.8448,2.9464,4.2641,
2.4881,3.8268,2.9406,4.3398,
2.5012,3.808,2.9714,4.4411,
2.5116,3.7861,2.9564,4.5522,
2.5157,3.7586,2.9848,4.6828,
2.5096,3.7231,2.9949,4.7768,
2.4899,3.6779,3.0101,4.9062,
2.4544,3.6219,2.9857,5.0381,
2.4023,3.555,2.9952,5.1675,
2.3343,3.4778,3.0062,5.3085,
2.2531,3.3922,3.0181,5.3564,
2.1625,3.3008,3.0575,5.5044,
2.068,3.2067,3.0706,5.6783,
1.9753,3.1134,3.0605,5.7565,
1.8906,3.0243,3.08,5.9072,
1.8197,2.9428,3.0742,5.9658,
1.7673,2.8715,3.095,6.1212,
1.7364,2.8123,3.0867,6.228,
1.7288,2.7662,3.0886,6.3348,
1.7439,2.7331,3.0892,6.4105,
1.7797,2.7122,3.0596,6.4886,
1.8325,2.7018,3.0776,6.5313,
1.8975,2.6995,3.0724,6.5985,
1.9696,2.7028,3.0596,6.6937,
2.0436,2.7088,3.0687,6.6864,
2.1149,2.7149,3.0773,6.752,
2.18,2.7187,3.0632,6.7529,
2.2369,2.7185,3.0416,6.7675,
2.2851,2.713,3.0544,6.7886,
2.3256,2.7018,3.0547,6.8478,
2.361,2.6848,3.0556,6.8389,
2.3945,2.6628,3.0425,6.8539,
2.43,2.6367,3.0477,6.8789,
2.4712,2.608,3.0166,6.8743,
2.5214,2.5781,3.0565,6.8499,
2.5827,2.5487,3.0224,6.856,
2.6558,2.5213,3.0605,6.8685,
2.7398,2.497,3.0587,6.8936,
2.8326,2.4771,3.0501,6.8731,
2.9302,2.4625,3.0474,6.8838,
3.0281,2.4536,3.0434,6.9012,
3.121,2.451,3.08,6.8707,
3.2035,2.4547,3.0593,6.9033,
3.2708,2.4646,3.1127,6.8646,
3.3189,2.4803,3.1304,6.8643,
3.3451,2.5013,3.1185,6.8743,
3.3482,2.5266,3.1661,6.8261,
3.3286,2.5553,3.1987,6.8023,
3.2879,2.5858,3.2186,6.7828,
3.2291,2.6166,3.2107,6.7984,
3.1561,2.646,3.2427,6.7474,
3.0732,2.6721,3.2961,6.7379,
2.9846,2.6932,3.2912,6.7446,
2.8945,2.7076,3.3425,6.6723,
2.8062,2.7141,3.3632,6.687,
2.7222,2.7119,3.3584,6.6326,
2.6444,2.7008,3.4166,6.621,
2.5733,2.6814,3.4127,6.5844,
2.5091,2.6547,3.4517,6.5664,
2.4511,2.6227,3.4951,6.5481,
2.3986,2.5877,3.4853,6.5347,
2.3503,2.5524,3.5393,6.502,
2.3056,2.5199,3.5677,6.4703,
2.2638,2.4929,3.5869,6.4666,
2.2246,2.4739,3.5915,6.4401,
2.188,2.4646,3.6312,6.4004,
2.1545,2.466,3.6223,6.3351,
2.1244,2.4784,3.6342,6.3183,
2.0982,2.5009,3.6761,6.3055,
2.0762,2.5319,3.6538,6.2719,
2.0584,2.5689,3.6562,6.2222,
2.0446,2.6093,3.6574,6.152,
2.0341,2.6498,3.6843,6.1309,
2.0261,2.6879,3.6742,6.087,
2.0196,2.721,3.6889,6.0644,
2.0136,2.7473,3.6895,6.0443,
2.0074,2.7661,3.6858,6.0122,
2.0007,2.7774,3.6541,5.9365,
1.9935,2.782,3.6715,5.9429,
1.9867,2.7817,3.658,5.873,
1.9815,2.7786,3.6474,5.8291,
1.9796,2.7751,3.6785,5.8267,
1.9829,2.7735,3.6751,5.783,
1.9935,2.7759,3.6675,5.7556,
2.013,2.7835,3.6565,5.6899,
2.0426,2.7969,3.6333,5.7006,
2.0827,2.816,3.626,5.6695,
2.1331,2.8398,3.6422,5.6225,
2.1923,2.8666,3.6037,5.5926,
2.2583,2.8945,3.5991,5.2511,
2.3283,2.9215,3.615,5.1958,
2.3991,2.9461,3.5741,5.1897,
2.4675,2.967,3.5927,5.1739,
2.5306,2.9839,3.5845,5.1391,
2.5859,2.9975,3.5766,5.129,
2.6319,3.0093,3.5384,5.1406,
2.6681,3.0215,3.5619,5.1315,
2.6951,3.0371,3.5286,5.1394,
2.7143,3.0589,3.5259,5.1394,
2.7279,3.09,3.5271,5.1028,
2.7388,3.1324,3.5598,5.1186,
2.7497,3.1875,3.5616,5.1095,
2.7633,3.2551,3.5323,5.097,
2.7815,3.334,3.5576,5.1421,
2.8055,3.4214,3.5546,5.104,
2.8352,3.5135,3.5329,5.1363,
2.8697,3.6053,3.5674,5.1312,
2.907,3.6919,3.55,5.1043,
2.9443,3.768,3.5525,5.1324,
2.9786,3.8291,3.579,5.1391,
3.0068,3.8718,3.5903,5.1547,
3.0261,3.8941,3.5976,5.1659,
3.0346,3.8956,3.5894,5.191,
3.0315,3.8776,3.5818,5.2004,
3.0172,3.8431,3.5891,5.2984,
2.9932,3.7963,3.6016,5.3637,
2.9624,3.7421,3.6211,5.3973,
2.9282,3.6858,3.6431,5.4559,
2.8949,3.6322,3.6529,5.5825,
2.8664,3.5856,3.6397,5.6191,
2.8465,3.5487,3.6703,5.7086,
2.8381,3.5227,3.6587,5.8074,
2.8431,3.5072,3.6818,5.9222,
2.8619,3.4998,3.677,5.9741,
2.8936,3.4971,3.6806,6.0952,
2.9362,3.4946,3.7166,6.1593,
2.9866,3.4872,3.7664,6.2686,
3.0412,3.47,3.7905,6.3076,
3.096,3.4385,3.8079,6.4224,
3.1473,3.3895,3.8427,6.5112,
3.1922,3.3212,3.8311,6.5664,
3.2284,3.2331,3.8793,6.6494,
3.2548,3.1264,3.8857,6.6879,
3.2715,3.0037,3.9809,6.7324,
3.2795,2.8683,3.9965,6.7498,
3.2806,2.7245,4.0395,6.8011,
3.2772,2.5764,4.0499,6.8304,
3.2717,2.4279,4.0945,6.8972,
3.2663,2.2822,4.1033,6.9253,
3.2626,2.1415,4.1573,6.9433,
3.2617,2.0071,4.1802,6.9555,
3.2636,1.8795,4.2229,6.9406,
3.2677,1.7584,4.2348,6.9628,
3.2727,1.6431,4.3212,6.9622,
3.2769,1.533,4.3755,6.9424,
3.2786,1.4281,4.4295,6.9314,
3.2763,1.329,4.4768,6.9485,
3.2693,1.2372,4.5498,6.9302,
3.2574,1.1556,4.6291,6.9009,
3.2415,1.0877,4.6944,6.9024,
3.2231,1.0378,4.7338,6.8255,
3.2046,1.0102,4.8437,6.7742,
3.1885,1.0092,4.8809,6.7382,
3.1773,1.038,4.9306,6.6772,
3.1731,1.0987,5.0161,6.5692,
3.1771,1.1913,5.0723,6.4764,
3.1895,1.3143,5.1394,6.3784,
