x,muTest,muModel,p3sigmaModel,m3sigmaModel
89.0,-0.16688,-0.1485728,-0.05446913,-0.24267647
90.0,-0.16795,-0.16168493,-0.065243945,-0.2581259
91.0,-0.16934,-0.17712367,-0.085558265,-0.26868907
92.0,-0.1705,-0.1709129,-0.07793225,-0.26389354
93.0,-0.17119,-0.12823555,-0.024073996,-0.23239711
94.0,-0.17186,-0.022772692,0.06119632,-0.106741704
95.0,-0.17293,0.052500714,0.12745641,-0.02245498
96.0,-0.17439,0.077620566,0.15643935,-0.0011982173
97.0,-0.17581,0.053286094,0.13396303,-0.027390849
98.0,-0.17662,-0.00754867,0.072239265,-0.0873366
99.0,-0.17643,-0.020611303,0.059112772,-0.100335374
100.0,-0.1753,0.007116121,0.07996527,-0.06573302
101.0,-0.17374,0.054775387,0.12672563,-0.017174855
102.0,-0.17232,0.06401704,0.14453818,-0.016504094
103.0,-0.17109,0.021351209,0.09637373,-0.053671308
104.0,-0.16959,-0.05307052,0.030038718,-0.13617976
105.0,-0.16724,-0.0651352,0.019533783,-0.14980419
106.0,-0.16349,-0.116427444,-0.026883163,-0.20597172
107.0,-0.15826,-0.11561369,-0.014831819,-0.21639556
108.0,-0.15205,-0.05148027,0.063897654,-0.1668582
109.0,-0.14544,0.036351155,0.12201266,-0.049310353
110.0,-0.13847,0.09481854,0.17085153,0.018785559
111.0,-0.13082,0.08971627,0.16960636,0.009826176
112.0,-0.12175,0.058625963,0.14461583,-0.0273639
113.0,-0.11053,0.064240284,0.15201303,-0.023532465
114.0,-0.097576,0.13094224,0.2039968,0.057887666
115.0,-0.083663,0.1738448,0.24066883,0.10702076
116.0,-0.069483,0.1965405,0.27524373,0.11783728
117.0,-0.055519,0.19206122,0.2690717,0.11505075
118.0,-0.04159,0.13792203,0.21175045,0.06409362
119.0,-0.027136,0.084916316,0.1584119,0.011420727
120.0,-0.012387,0.09343286,0.16469578,0.022169933
121.0,0.0018892,0.117560774,0.18522215,0.0498994
122.0,0.014975,0.123011604,0.19431823,0.05170498
123.0,0.02635,0.11004377,0.18204427,0.038043268
124.0,0.03617,0.07941892,0.14678228,0.012055561
125.0,0.044603,0.04659233,0.114975825,-0.021791171
126.0,0.05159,0.03427046,0.10375889,-0.035217967
127.0,0.057099,0.015745783,0.08805562,-0.056564055
128.0,0.061049,0.014165932,0.08741871,-0.05908685
129.0,0.063407,0.06408289,0.13195974,-0.0037939548
130.0,0.064133,0.08622809,0.15296781,0.019488364
131.0,0.063207,0.08739686,0.15657207,0.01822164
132.0,0.060847,0.043681886,0.11208764,-0.024723861
133.0,0.057462,-0.00557308,0.0712113,-0.08235746
134.0,0.053801,-0.001378418,0.07769084,-0.080447674
135.0,0.050354,0.0008989172,0.083471425,-0.081673585
136.0,0.047113,0.040953327,0.120431185,-0.038524535
137.0,0.043706,0.12053528,0.18537724,0.05569332
138.0,0.039867,0.13308874,0.204672,0.06150548
139.0,0.035562,0.15052722,0.22766915,0.07338529
140.0,0.03124,0.13799664,0.21616364,0.059829645
141.0,0.027453,0.111424595,0.18697034,0.035878852
142.0,0.024275,0.09459349,0.1668847,0.02230227
143.0,0.021482,0.072925344,0.14460285,0.0012478381
144.0,0.018746,0.032974146,0.10418701,-0.03823872
145.0,0.01603,-0.0064170794,0.069459684,-0.082293846
146.0,0.013554,-0.025545735,0.058416586,-0.10950805
147.0,0.01149,-0.005546282,0.077098675,-0.08819123
148.0,0.00971,0.0661419,0.13710412,-0.0048203096
149.0,0.0077736,0.117980145,0.18326688,0.05269341
150.0,0.0052871,0.13373606,0.20797086,0.059501268
151.0,0.0022532,0.101878025,0.17595094,0.027805097
152.0,-0.00077531,0.031439606,0.106647536,-0.043768328
153.0,-0.0032262,-0.0041407254,0.07997788,-0.08825933
154.0,-0.0049466,0.05393557,0.12502131,-0.017150167
155.0,-0.0066005,0.050442584,0.13832189,-0.037436724
156.0,-0.0091868,0.045564946,0.16109638,-0.06996648
157.0,-0.013121,0.046497554,0.16604759,-0.07305248
158.0,-0.0177,0.00906691,0.1224519,-0.10431808
159.0,-0.022393,-0.04707646,0.07061954,-0.16477247
160.0,-0.027493,-0.041943368,0.06634803,-0.15023476
161.0,-0.032721,-0.07040073,0.03829901,-0.17910047
162.0,-0.037729,-0.08789512,0.016428038,-0.19221827
163.0,-0.043253,-0.005405503,0.08319275,-0.09400375
164.0,-0.050358,0.044228636,0.127904,-0.03944672
165.0,-0.058709,0.03604861,0.120288014,-0.0481908
166.0,-0.067298,-0.007712946,0.07553449,-0.09096038
167.0,-0.075881,-0.014752262,0.064866595,-0.09437112
168.0,-0.084565,0.03751125,0.12389517,-0.048872676
169.0,-0.093477,0.06194455,0.17209044,-0.04820133
170.0,-0.10287,0.047202874,0.15410641,-0.059700657
171.0,-0.11259,-0.009151993,0.09304444,-0.11134843
172.0,-0.12239,-0.103150636,-0.001682654,-0.20461862
173.0,-0.13213,-0.16055162,-0.057235144,-0.2638681
174.0,-0.14155,-0.16160692,-0.06432224,-0.2588916
175.0,-0.15066,-0.084616795,-0.0010635704,-0.16817002
176.0,-0.15963,-0.0763669,0.003279537,-0.15601334
177.0,-0.16855,-0.120046824,-0.0337262,-0.20636745
178.0,-0.17686,-0.15701239,-0.061802626,-0.25222215
179.0,-0.18398,-0.1475268,-0.05158577,-0.24346784
180.0,-0.18961,-0.08770268,-0.003360577,-0.17204478
181.0,-0.19413,-0.0072911843,0.063371874,-0.07795424
182.0,-0.19802,-0.019414214,0.054648183,-0.093476616
183.0,-0.2009,-0.067701966,0.014320888,-0.14972481
184.0,-0.20184,-0.10758827,-0.020331405,-0.19484514
185.0,-0.19984,-0.15520123,-0.066909686,-0.24349277
186.0,-0.19511,-0.14074653,-0.03155472,-0.24993834
187.0,-0.18848,-0.076287195,0.059296638,-0.21187103
188.0,-0.18003,-0.004793967,0.10570756,-0.11529549
189.0,-0.1694,0.06342563,0.1560205,-0.029169247
190.0,-0.1567,0.10937239,0.19445425,0.024290532
191.0,-0.1417,0.11687154,0.20306826,0.03067483
192.0,-0.12433,0.14156184,0.22097024,0.06215343
193.0,-0.10501,0.19045149,0.25547385,0.12542912
194.0,-0.084166,0.21888095,0.28029424,0.15746765
195.0,-0.062358,0.23926081,0.30407822,0.17444341
196.0,-0.040231,0.23344533,0.30144137,0.16544928
197.0,-0.018106,0.20158577,0.2688288,0.13434274
198.0,0.0040639,0.18063726,0.24875769,0.11251683
199.0,0.026055,0.16696304,0.2296256,0.104300484
200.0,0.047201,0.18209045,0.24843177,0.11574912
201.0,0.066618,0.1905322,0.28158903,0.09947534
202.0,0.083513,0.18441308,0.2750877,0.09373844
203.0,0.097675,0.13246,0.21607047,0.04884953
204.0,0.10946,0.054575905,0.13474764,-0.025595829
205.0,0.11936,-0.0034162344,0.084758416,-0.09159088
206.0,0.12751,-0.020474011,0.07654857,-0.11749659
207.0,0.13365,0.0063084443,0.10086746,-0.08825057
208.0,0.13733,0.03197462,0.119408906,-0.055459663
209.0,0.13866,0.040704474,0.12733443,-0.045925483
210.0,0.13836,0.04754044,0.13652138,-0.0414405
211.0,0.13706,0.08477074,0.1671476,0.002393879
212.0,0.13498,0.16132392,0.22526163,0.09738621
213.0,0.132,0.18530074,0.25184512,0.11875635
214.0,0.12811,0.17661756,0.24585076,0.10738437
215.0,0.12378,0.12461003,0.19468594,0.054534115
216.0,0.11976,0.119111314,0.19050601,0.047716618
217.0,0.1163,0.16093428,0.22954294,0.09232562
218.0,0.11287,0.17937382,0.2489257,0.10982193
219.0,0.10904,0.12907116,0.19504188,0.06310044
220.0,0.10506,0.0635507,0.13738105,-0.010279633
221.0,0.10184,0.03014581,0.11090549,-0.050613873
222.0,0.099795,0.055033058,0.13796091,-0.027894795
223.0,0.098254,0.05268747,0.12572043,-0.020345483
224.0,0.095934,0.071119614,0.16409639,-0.02185715
225.0,0.092207,0.073419996,0.16033399,-0.013494007
226.0,0.087735,0.019678267,0.10701631,-0.06765978
227.0,0.084096,-0.039437443,0.05694729,-0.13582218
228.0,0.082098,-0.10002185,0.009404816,-0.20944852
229.0,0.081015,-0.07732054,0.030279063,-0.18492013
230.0,0.079621,-0.017652778,0.07276575,-0.10807131
231.0,0.077445,-0.013972273,0.07673029,-0.10467484
232.0,0.075233,-0.028156776,0.06085513,-0.11716868
233.0,0.074058,-0.04132905,0.052266873,-0.13492498
234.0,0.074236,0.0047905413,0.09665002,-0.08706893
235.0,0.075095,0.10810599,0.17659351,0.039618455
236.0,0.076326,0.13450822,0.20212556,0.06689088
237.0,0.078005,0.08790295,0.16384386,0.011962041
238.0,0.080347,0.040271774,0.12482378,-0.04428023
239.0,0.084183,0.03546386,0.124569476,-0.053641763
240.0,0.089353,0.08286081,0.1617373,0.0039843395
241.0,0.095093,0.15537071,0.21749476,0.09324667
242.0,0.10117,0.19349821,0.25670516,0.13029127
243.0,0.1071,0.2119871,0.28976393,0.13421026
244.0,0.11236,0.22791202,0.32920972,0.12661433
245.0,0.11682,0.23638359,0.34452957,0.1282376
246.0,0.1203,0.2123219,0.31435376,0.110290065
247.0,0.12272,0.13229567,0.2223617,0.042229638
248.0,0.12421,0.07918342,0.16487733,-0.0065104812
249.0,0.12467,0.046706676,0.12867615,-0.0352628
250.0,0.12364,0.13074395,0.20763284,0.05385507
251.0,0.12015,0.16035919,0.25965628,0.06106209
252.0,0.11371,0.14832357,0.24211413,0.054533005
253.0,0.10496,0.07705825,0.16436334,-0.010246843
254.0,0.094526,-0.021418514,0.07308145,-0.11591847
255.0,0.082697,-0.06922078,0.033920452,-0.17236201
256.0,0.070029,-0.046010528,0.050788533,-0.14280958
257.0,0.056464,0.035756387,0.11328129,-0.041768514
258.0,0.041361,0.08169267,0.15465823,0.008727126
259.0,0.025017,0.07836653,0.1524193,0.004313767
260.0,0.0081525,0.07009123,0.14500365,-0.0048211887
261.0,-0.0085832,0.05160209,0.122420624,-0.019216437
262.0,-0.024803,0.010121832,0.087002724,-0.066759065
263.0,-0.040214,-0.021774963,0.059348598,-0.10289852
264.0,-0.054198,-0.050956618,0.030900236,-0.13281347
265.0,-0.066297,-0.059196416,0.029875424,-0.14826825
266.0,-0.076421,0.0016075507,0.09266942,-0.089454316
267.0,-0.084981,0.08750607,0.15539074,0.019621402
268.0,-0.092503,0.097484455,0.1797878,0.015181109
269.0,-0.099074,0.11835399,0.20720026,0.029507726
270.0,-0.10441,0.12791796,0.21644181,0.03939411
271.0,-0.10801,0.12471839,0.21411899,0.035317786
272.0,-0.10994,0.11893514,0.20674138,0.031128898
273.0,-0.11081,0.118309624,0.21204057,0.024578668
274.0,-0.11116,0.11131509,0.21012582,0.012504354
275.0,-0.11134,0.09454469,0.19093257,-0.0018431991
276.0,-0.11168,0.06464552,0.1610151,-0.031724058
277.0,-0.11242,0.013526284,0.10841866,-0.08136609
278.0,-0.1137,-0.028867418,0.06777989,-0.12551473
279.0,-0.11565,-0.04619645,0.042854924,-0.13524783
280.0,-0.11837,-0.018297102,0.07317792,-0.109772116
281.0,-0.12198,-0.01663652,0.08375416,-0.1170272
282.0,-0.12646,-0.039628547,0.057378326,-0.13663542
283.0,-0.13178,-0.11523796,-0.020334318,-0.2101416
284.0,-0.13778,-0.16934228,-0.07574174,-0.26294282
285.0,-0.14432,-0.18163995,-0.08274429,-0.2805356
286.0,-0.1512,-0.15307316,-0.06586049,-0.24028584
287.0,-0.15835,-0.08204286,-0.0014444962,-0.16264123
288.0,-0.16584,-0.080852956,0.00055119395,-0.1622571
289.0,-0.17359,-0.11611157,-0.031776495,-0.20044664
290.0,-0.18124,-0.14626919,-0.06416611,-0.22837228
291.0,-0.18864,-0.13979092,-0.05928111,-0.22030073
292.0,-0.19569,-0.10593124,-0.02394206,-0.18792042
293.0,-0.2024,-0.12421305,-0.038737714,-0.20968838
294.0,-0.20878,-0.17412645,-0.08469753,-0.26355535
295.0,-0.21442,-0.113881096,-0.026666008,-0.20109618
296.0,-0.21862,-0.15125619,-0.064797886,-0.2377145
297.0,-0.22085,-0.14145684,-0.04406277,-0.23885092
298.0,-0.22122,-0.09230904,0.013322383,-0.19794047
299.0,-0.22024,-0.030987898,0.07051053,-0.13248633
300.0,-0.21794,0.008928524,0.103795774,-0.08593873
301.0,-0.21384,0.021496443,0.11510365,-0.07211076
302.0,-0.20742,0.04010981,0.1328824,-0.05266278
303.0,-0.19847,0.07958402,0.16255245,-0.0033844113
304.0,-0.18728,0.12453588,0.19714522,0.051926546
305.0,-0.17419,0.14663239,0.2134479,0.079816885
306.0,-0.15949,0.17768012,0.24647069,0.10888955
307.0,-0.14375,0.1642235,0.26886594,0.05958108
308.0,-0.12763,0.17321028,0.29999977,0.046420798
309.0,-0.11181,0.163842,0.29766047,0.030023515
310.0,-0.096341,0.12831654,0.2529462,0.00368689
311.0,-0.081159,0.04520977,0.16530593,-0.0748864
312.0,-0.06684,0.037490994,0.1442023,-0.06922032
313.0,-0.053463,0.007310381,0.11332258,-0.09870181
314.0,-0.040795,-0.011824421,0.10644811,-0.13009694
315.0,-0.029494,-0.015127982,0.09620098,-0.12645695
316.0,-0.020671,0.023724038,0.12061514,-0.07316707
317.0,-0.014192,0.058194686,0.14259402,-0.02620465
318.0,-0.0094633,0.100581676,0.17239138,0.028771967
319.0,-0.0061357,0.11685853,0.18762359,0.04609347
320.0,-0.0039622,0.093178205,0.16646245,0.019893967
321.0,-0.0028667,0.031077808,0.11344997,-0.05129435
322.0,-0.0022918,0.001460518,0.087001175,-0.084080145
323.0,-0.0017461,-0.009816538,0.08319991,-0.10283298
324.0,-0.0011398,0.041596442,0.12367306,-0.040480174
325.0,-0.00077388,0.12887143,0.19419901,0.06354384
326.0,-0.0011549,0.16080637,0.23667227,0.08494048
327.0,-0.0023646,0.17702511,0.2585743,0.09547591
328.0,-0.0039274,0.17324062,0.2571097,0.08937155
329.0,-0.0053793,0.17692345,0.26898456,0.08486236
330.0,-0.0067876,0.1845357,0.29065016,0.078421235
331.0,-0.0087183,0.17751615,0.28906512,0.06596716
332.0,-0.011465,0.14574222,0.25306246,0.03842199
333.0,-0.01499,0.0689872,0.15841287,-0.020438477
334.0,-0.019274,-0.033201724,0.059598207,-0.12600166
335.0,-0.024328,-0.04567742,0.046575192,-0.13793004
336.0,-0.030259,0.030742101,0.1124732,-0.050988995
337.0,-0.037255,0.0601114,0.15208562,-0.031862814
338.0,-0.045619,0.04295551,0.13271621,-0.046805196
339.0,-0.055033,-0.048905063,0.043539245,-0.14134938
340.0,-0.065115,-0.101840526,-0.008153893,-0.19552717
341.0,-0.075442,-0.11520386,-0.019391075,-0.21101664
342.0,-0.085293,-0.10929595,-0.010147758,-0.20844415
343.0,-0.094524,-0.08650705,0.014179468,-0.18719357
344.0,-0.1034,-0.038267665,0.054186754,-0.13072208
345.0,-0.11193,0.033746544,0.11535786,-0.047864776
346.0,-0.11979,0.07392785,0.14490092,0.002954781
347.0,-0.12654,0.07738788,0.1463879,0.008387856
348.0,-0.13183,0.08940931,0.15864557,0.020173043
349.0,-0.13555,0.09761436,0.16386259,0.031366132
350.0,-0.1378,0.09794205,0.16821459,0.027669512
351.0,-0.13867,0.08450177,0.15365776,0.015345782
352.0,-0.13824,0.028341012,0.10002579,-0.043343768
353.0,-0.13627,0.0037310396,0.08535084,-0.07788876
354.0,-0.13249,-0.012943395,0.073197864,-0.09908465
355.0,-0.12681,-0.0055060536,0.083888315,-0.09490042
356.0,-0.11951,0.039748687,0.12255001,-0.04305264
357.0,-0.11118,0.12096789,0.18895139,0.052984387
358.0,-0.10216,0.15036793,0.21562149,0.085114375
359.0,-0.092535,0.14469123,0.21224657,0.0771359
360.0,-0.082064,0.1274526,0.19718343,0.057721764
361.0,-0.070532,0.13708708,0.20659032,0.06758383
362.0,-0.058173,0.15834488,0.23242559,0.084264174
363.0,-0.045874,0.17045675,0.2692213,0.071692206
364.0,-0.034383,0.15946917,0.2626409,0.056297466
365.0,-0.023927,0.11177546,0.20322666,0.020324267
366.0,-0.014201,0.03658068,0.12061175,-0.047450386
367.0,-0.0050265,-0.011067924,0.07442987,-0.09656572
368.0,0.0033848,0.02727375,0.1014364,-0.046888895
369.0,0.010289,0.06252253,0.15227924,-0.027234182
370.0,0.014829,0.073964216,0.18140015,-0.033471726
371.0,0.016864,0.05232017,0.15530741,-0.050667074
372.0,0.016886,-0.016292708,0.07414785,-0.10673326
373.0,0.015246,-0.07748308,0.014727309,-0.16969347
374.0,0.012134,-0.11426442,-0.015554048,-0.21297479
375.0,0.0080117,-0.106308095,-0.00544291,-0.20717329
376.0,0.0029179,-0.04952086,0.04039039,-0.13943212
377.0,-0.0035709,0.03294891,0.10631148,-0.040413655
378.0,-0.011509,0.080998294,0.15706336,0.0049332306
379.0,-0.02067,0.08137223,0.16434674,-0.0016022772
380.0,-0.030477,0.010432045,0.087637246,-0.06677316
381.0,-0.040059,-0.042908553,0.04431663,-0.13013373
382.0,-0.048822,-0.059309665,0.033533964,-0.1521533
383.0,-0.056501,-0.03836919,0.05464526,-0.13138364
384.0,-0.063283,0.013817663,0.09794861,-0.07031329
385.0,-0.069446,0.07079692,0.1470523,-0.0054584593
386.0,-0.074921,0.069266535,0.14247477,-0.0039416924
387.0,-0.079201,0.06493873,0.1446765,-0.014799044
388.0,-0.081637,0.05050489,0.13411765,-0.033107866
389.0,-0.081958,0.077550955,0.15696374,-0.0018618181
390.0,-0.080341,0.124659054,0.19605903,0.053259075
391.0,-0.077161,0.14844401,0.21259026,0.08429776
392.0,-0.072629,0.1606782,0.22252163,0.09883475
393.0,-0.066809,0.17337708,0.24161318,0.105140984
394.0,-0.059676,0.17941082,0.2501793,0.10864234
395.0,-0.051568,0.18713543,0.27505684,0.09921402
396.0,-0.043085,0.17383987,0.26067874,0.087000996
397.0,-0.034497,0.08877222,0.16502255,0.012521893
398.0,-0.025529,0.05499342,0.13268092,-0.022694081
399.0,-0.015598,-0.021554697,0.07384747,-0.11695686
400.0,-0.0045837,-0.030956604,0.07102483,-0.13293803
401.0,0.0065872,-0.016956756,0.110947154,-0.14486067
402.0,0.016973,-0.049215134,0.054142293,-0.15257256
403.0,0.026271,-0.045200698,0.06770222,-0.15810362
404.0,0.033662,-0.050835036,0.062087156,-0.16375723
405.0,0.039442,-0.051019292,0.05527373,-0.15731232
406.0,0.045055,-0.04489014,0.06395134,-0.15373161
407.0,0.050453,-0.02802268,0.071437314,-0.12748267
408.0,0.054887,0.06503781,0.15952066,-0.029445037
409.0,0.05724,0.09432566,0.20162782,-0.012976497
410.0,0.056968,0.0842921,0.18906824,-0.020484045
411.0,0.054697,0.012129978,0.120532736,-0.09627278
412.0,0.05073,-0.0862562,0.02092474,-0.19343713
413.0,0.045055,-0.119588055,-0.010566674,-0.22860944
414.0,0.037924,-0.0354498,0.0571892,-0.1280888
415.0,0.029027,0.041581698,0.13345118,-0.050287783
416.0,0.017898,0.052011393,0.14971678,-0.045693994
417.0,0.0050456,0.0003125457,0.10119165,-0.10056656
418.0,-0.0088475,-0.063120715,0.03557647,-0.16181791
419.0,-0.023646,-0.07063291,0.022186838,-0.16345266
420.0,-0.039091,-0.00048730365,0.09538422,-0.09635883
421.0,-0.055171,0.011464012,0.120557174,-0.097629145
422.0,-0.071805,-0.02526127,0.07971205,-0.13023458
423.0,-0.088635,-0.1330471,-0.023552045,-0.24254216
424.0,-0.10532,-0.19166444,-0.0802322,-0.30309668
425.0,-0.1216,-0.17600082,-0.07368865,-0.27831298
426.0,-0.13731,-0.058118176,0.03928553,-0.15552188
427.0,-0.15255,-0.028990878,0.097443864,-0.15542562
428.0,-0.16735,-0.034795538,0.09171142,-0.16130249
429.0,-0.18141,-0.0847392,0.03232543,-0.20180383
430.0,-0.19455,-0.1525495,-0.03923382,-0.2658652
431.0,-0.20658,-0.20063452,-0.081057474,-0.3202116
432.0,-0.21743,-0.21845306,-0.10354732,-0.33335882
433.0,-0.22709,-0.15402517,-0.05595906,-0.2520913
434.0,-0.23575,-0.086494654,0.010235712,-0.18322502
435.0,-0.24351,-0.08685818,0.010304868,-0.18402123
436.0,-0.2503,-0.13161367,-0.029787898,-0.23343945
437.0,-0.25598,-0.20328905,-0.10294229,-0.3036358
438.0,-0.26056,-0.22846475,-0.12204652,-0.33488297
439.0,-0.26388,-0.24185942,-0.13496204,-0.3487568
440.0,-0.26554,-0.25082847,-0.14109366,-0.36056328
441.0,-0.26548,-0.21020359,-0.09613356,-0.32427362
442.0,-0.26409,-0.14701666,-0.046884865,-0.24714845
443.0,-0.2617,-0.07993455,0.008099683,-0.16796878
444.0,-0.25815,-0.07373956,0.015350111,-0.16282922
445.0,-0.25317,-0.09609438,0.00090187043,-0.19309062
446.0,-0.2464,-0.10192509,-0.003006667,-0.20084351
447.0,-0.23772,-0.08531682,0.011286542,-0.18192019
448.0,-0.22729,-0.04503481,0.04502611,-0.13509573
449.0,-0.21551,0.015924336,0.097605355,-0.065756686
450.0,-0.20276,0.04826956,0.12197374,-0.025434624
451.0,-0.18919,0.028991459,0.10570574,-0.047722816
452.0,-0.17465,-0.014083791,0.06935718,-0.097524755
453.0,-0.15895,-0.030629177,0.05957794,-0.12083629
454.0,-0.142,-0.05117422,0.04507949,-0.14742793
455.0,-0.124,-0.03497941,0.06462801,-0.13458684
456.0,-0.10544,0.02480794,0.11194037,-0.062324494
457.0,-0.086903,0.12131444,0.19098303,0.051645853
458.0,-0.068867,0.14829785,0.22421232,0.07238338
459.0,-0.051523,0.15007977,0.22878098,0.07137856
460.0,-0.034761,0.11342127,0.18988818,0.036954366
461.0,-0.018389,0.06971712,0.14716104,-0.007726811
462.0,-0.0024986,0.04878963,0.12578602,-0.028206754
463.0,0.012535,0.020853862,0.10043542,-0.058727697
464.0,0.026396,0.02134272,0.1016078,-0.058922354
465.0,0.038826,0.06511617,0.1378917,-0.0076593608
466.0,0.049535,0.100113526,0.18681851,0.013408542
467.0,0.058034,0.1061459,0.22744621,-0.015154406
468.0,0.063848,0.10988891,0.2364159,-0.01663807
469.0,0.06723,0.061133686,0.17949997,-0.0572326
470.0,0.068719,0.018207297,0.1238119,-0.08739731
471.0,0.068669,-0.007882129,0.09914826,-0.114912525
472.0,0.067592,-0.055221245,0.0605015,-0.17094399
473.0,0.065663,-0.03901334,0.07137371,-0.14940038
474.0,0.061697,0.058070425,0.14150079,-0.025359932
475.0,0.05511,0.08597618,0.16822347,0.0037289038
476.0,0.046676,0.04692846,0.13288729,-0.039030362
477.0,0.037557,0.018304553,0.10289957,-0.06629047
478.0,0.028481,0.096213445,0.17445819,0.0179687
479.0,0.019031,0.11681824,0.22787675,0.0057597384
