x,muTest,muModel,p3sigmaModel,m3sigmaModel
206.0,0.30347,0.32375222,0.37905744,0.268447
207.0,0.30356,0.32361445,0.37869707,0.26853183
208.0,0.30362,0.32755435,0.38093057,0.27417812
209.0,0.3037,0.3290668,0.38188264,0.276251
210.0,0.30375,0.32710606,0.38122877,0.27298334
211.0,0.30382,0.32850736,0.38223335,0.27478138
212.0,0.30386,0.3332799,0.38648605,0.28007376
213.0,0.30388,0.32743007,0.3807934,0.27406675
214.0,0.30391,0.32967132,0.38376623,0.2755764
215.0,0.30393,0.32805395,0.38222784,0.27388006
216.0,0.30394,0.33542827,0.38914388,0.28171265
217.0,0.30396,0.33619267,0.3897942,0.28259113
218.0,0.30394,0.33230534,0.38470843,0.27990225
219.0,0.30391,0.3278128,0.38002744,0.27559814
220.0,0.3039,0.3287634,0.38054702,0.27697977
221.0,0.30385,0.3293125,0.38079068,0.27783433
222.0,0.30381,0.33136374,0.3828475,0.27988
223.0,0.30375,0.32737783,0.37924337,0.27551228
224.0,0.30369,0.32975557,0.38067776,0.2788334
225.0,0.30363,0.3283763,0.378849,0.2779036
226.0,0.30355,0.333446,0.38255066,0.28434134
227.0,0.30347,0.32653138,0.3769533,0.27610946
228.0,0.30336,0.32760188,0.37788177,0.277322
229.0,0.30324,0.32556668,0.3747664,0.27636695
230.0,0.30313,0.33167717,0.38107526,0.28227907
231.0,0.30298,0.33140156,0.3811759,0.2816272
232.0,0.30285,0.33021942,0.37979177,0.28064707
233.0,0.30271,0.3256583,0.37451297,0.2768036
234.0,0.30253,0.32171306,0.3710592,0.2723669
235.0,0.30237,0.32010445,0.36915606,0.27105284
236.0,0.30216,0.324416,0.3728611,0.27597094
237.0,0.30195,0.32399103,0.37103286,0.2769492
238.0,0.30173,0.32316542,0.37023336,0.27609748
239.0,0.30152,0.32238317,0.36975223,0.2750141
240.0,0.30125,0.3205677,0.36794955,0.27318585
241.0,0.301,0.32143843,0.36909762,0.27377924
242.0,0.30073,0.32514095,0.37174904,0.27853286
243.0,0.30045,0.32426146,0.37076405,0.27775887
244.0,0.30016,0.32683372,0.37334192,0.28032553
245.0,0.29982,0.32491794,0.37076715,0.27906874
246.0,0.2995,0.32584634,0.37215102,0.27954167
247.0,0.29914,0.3231212,0.37008283,0.27615955
248.0,0.29877,0.33538607,0.3813154,0.28945673
249.0,0.29837,0.32648695,0.3714154,0.28155848
250.0,0.29796,0.32049838,0.36586052,0.27513623
251.0,0.29753,0.32825628,0.3728583,0.28365427
252.0,0.29709,0.3229996,0.36755973,0.27843946
253.0,0.29663,0.3261058,0.36992282,0.2822888
254.0,0.29612,0.32464728,0.36771446,0.2815801
255.0,0.29561,0.3195309,0.36300194,0.27605987
256.0,0.29507,0.3168612,0.36063305,0.27308938
257.0,0.29449,0.32140332,0.3636884,0.27911824
258.0,0.29388,0.3230218,0.36582404,0.28021955
259.0,0.29324,0.32009175,0.36255038,0.27763313
260.0,0.2926,0.32001188,0.3629103,0.27711347
261.0,0.2919,0.3174116,0.35915962,0.27566358
262.0,0.29117,0.32046714,0.3629608,0.2779735
263.0,0.29038,0.3213466,0.36332238,0.27937084
264.0,0.28956,0.3163701,0.35792854,0.27481166
265.0,0.2887,0.31462944,0.35582396,0.2734349
266.0,0.28781,0.313123,0.3544283,0.27181768
267.0,0.28684,0.30586198,0.34731293,0.26441103
268.0,0.28583,0.3041775,0.34663102,0.26172397
269.0,0.28472,0.30143303,0.3434619,0.25940415
270.0,0.28355,0.3026938,0.34393862,0.261449
271.0,0.28231,0.30021775,0.34205633,0.25837916
272.0,0.28096,0.29333094,0.33452547,0.2521364
273.0,0.27952,0.2880719,0.3293417,0.24680209
274.0,0.27797,0.283945,0.32553586,0.24235412
275.0,0.27625,0.27888373,0.3213371,0.23643035
276.0,0.27436,0.27403843,0.31767082,0.23040606
277.0,0.27227,0.26271397,0.30619135,0.21923658
278.0,0.26991,0.26244646,0.30821806,0.21667488
279.0,0.26726,0.2509667,0.29413643,0.20779696
280.0,0.26428,0.24800768,0.292177,0.20383836
281.0,0.2609,0.23726755,0.28216034,0.19237478
282.0,0.25707,0.2293849,0.2737659,0.18500392
283.0,0.25273,0.22157757,0.26817545,0.1749797
284.0,0.24781,0.21198326,0.25828314,0.16568339
285.0,0.24228,0.20490736,0.25515562,0.1546591
286.0,0.23605,0.19322026,0.24181077,0.14462975
287.0,0.22912,0.18289283,0.23424225,0.13154341
288.0,0.22141,0.172319,0.22369373,0.12094427
289.0,0.21287,0.16535883,0.21894562,0.11177202
290.0,0.20353,0.15097532,0.20481318,0.09713745
291.0,0.19332,0.13893978,0.19466671,0.08321286
292.0,0.18224,0.13028751,0.19067813,0.06989689
293.0,0.17031,0.11896099,0.18182737,0.05609461
294.0,0.15753,0.10619471,0.17260092,0.039788507
295.0,0.14394,0.092344515,0.16252975,0.022159278
296.0,0.12955,0.07913049,0.14956799,0.008692987
297.0,0.11439,0.06390066,0.13804662,-0.010245316
298.0,0.098561,0.047392573,0.12227422,-0.027489077
299.0,0.082052,0.032506377,0.10682359,-0.04181084
300.0,0.065035,0.02016433,0.09846139,-0.058132727
301.0,0.047561,0.0038393459,0.08403875,-0.07636006
302.0,0.029685,-0.008301542,0.077171296,-0.09377438
303.0,0.011545,-0.02046401,0.06778366,-0.10871168
304.0,-0.0067798,-0.033664692,0.05373485,-0.12106423
305.0,-0.025161,-0.050863054,0.03631519,-0.1380413
306.0,-0.04346,-0.058744207,0.028610252,-0.14609867
307.0,-0.061584,-0.07018507,0.021338739,-0.16170889
308.0,-0.079428,-0.07587449,0.018535778,-0.17028476
309.0,-0.096875,-0.084260866,0.014381379,-0.18290311
310.0,-0.11382,-0.09679303,-0.0016421303,-0.19194394
311.0,-0.13014,-0.1025308,-0.007750936,-0.19731066
312.0,-0.14579,-0.10533283,-0.008787982,-0.20187768
313.0,-0.16065,-0.11468048,-0.0156321,-0.21372885
314.0,-0.1747,-0.11366845,-0.01748991,-0.20984699
315.0,-0.18787,-0.12203588,-0.020266287,-0.22380549
316.0,-0.20016,-0.12960197,-0.033126473,-0.22607747
317.0,-0.21147,-0.13583201,-0.038475625,-0.23318839
318.0,-0.22185,-0.13895707,-0.042140737,-0.2357734
319.0,-0.2313,-0.1431436,-0.044298314,-0.24198887
320.0,-0.2398,-0.14505053,-0.042064294,-0.24803676
321.0,-0.24743,-0.15200356,-0.05296555,-0.25104156
322.0,-0.25416,-0.14807414,-0.05009666,-0.24605161
323.0,-0.26005,-0.15481915,-0.055582896,-0.25405538
324.0,-0.26514,-0.16581121,-0.06789531,-0.26372713
325.0,-0.26952,-0.17290263,-0.077818945,-0.2679863
326.0,-0.27322,-0.17576462,-0.081268966,-0.27026027
327.0,-0.27628,-0.18266807,-0.08925995,-0.2760762
328.0,-0.27876,-0.18140244,-0.084932,-0.2778729
329.0,-0.28075,-0.18019068,-0.08014415,-0.2802372
330.0,-0.2823,-0.18161565,-0.081739515,-0.2814918
331.0,-0.28343,-0.18279569,-0.08298524,-0.28260612
332.0,-0.28421,-0.18906274,-0.090382576,-0.2877429
333.0,-0.28474,-0.19357912,-0.096921235,-0.290237
334.0,-0.28502,-0.1866722,-0.08635035,-0.28699404
335.0,-0.28511,-0.18668637,-0.08317481,-0.2901979
336.0,-0.28507,-0.18970016,-0.08226797,-0.29713234
337.0,-0.28491,-0.19484152,-0.090511166,-0.29917186
338.0,-0.28469,-0.1938991,-0.08863816,-0.29916003
339.0,-0.28445,-0.19752188,-0.08790512,-0.30713865
340.0,-0.28416,-0.20254399,-0.09870859,-0.30637938
341.0,-0.28389,-0.2033995,-0.0984907,-0.3083083
342.0,-0.28365,-0.19921975,-0.09322405,-0.30521545
343.0,-0.28345,-0.20796347,-0.104076214,-0.31185073
344.0,-0.28332,-0.21375857,-0.11184843,-0.3156687
345.0,-0.28324,-0.20916869,-0.10291739,-0.31541997
346.0,-0.28323,-0.21525046,-0.11302808,-0.31747285
347.0,-0.28326,-0.22810727,-0.133935,-0.32227954
348.0,-0.28338,-0.22907726,-0.13168272,-0.3264718
349.0,-0.28356,-0.22776334,-0.13039713,-0.32512957
350.0,-0.28382,-0.23101832,-0.1336654,-0.32837123
351.0,-0.28412,-0.23424545,-0.13750236,-0.33098853
352.0,-0.28445,-0.22935233,-0.13191468,-0.32678998
353.0,-0.28486,-0.2254125,-0.12193134,-0.32889366
354.0,-0.28528,-0.22925104,-0.12810743,-0.33039466
355.0,-0.28576,-0.23464218,-0.13394202,-0.33534235
356.0,-0.28624,-0.24170804,-0.14455393,-0.33886215
357.0,-0.28674,-0.2430124,-0.14416529,-0.34185952
358.0,-0.28722,-0.2329346,-0.12776971,-0.33809948
359.0,-0.28772,-0.23340446,-0.12812561,-0.3386833
360.0,-0.28822,-0.23004492,-0.12144757,-0.33864227
361.0,-0.28871,-0.23212321,-0.12342006,-0.34082636
362.0,-0.28915,-0.23713316,-0.13430336,-0.33996296
363.0,-0.28956,-0.23986183,-0.13750024,-0.3422234
364.0,-0.28998,-0.24297078,-0.14191905,-0.3440225
365.0,-0.29031,-0.24117951,-0.13987309,-0.34248593
366.0,-0.29064,-0.23959891,-0.13418092,-0.3450169
367.0,-0.2909,-0.24444288,-0.14097798,-0.34790778
368.0,-0.29113,-0.25005946,-0.15204258,-0.34807634
369.0,-0.29131,-0.24940996,-0.14940852,-0.3494114
370.0,-0.29145,-0.24119759,-0.13770264,-0.34469253
371.0,-0.29154,-0.2478046,-0.15039669,-0.34521252
372.0,-0.29157,-0.2397343,-0.13770217,-0.34176645
373.0,-0.29154,-0.24536262,-0.14378512,-0.34694013
374.0,-0.29147,-0.24325167,-0.14756314,-0.3389402
375.0,-0.29135,-0.24216782,-0.14388297,-0.34045267
376.0,-0.29122,-0.2398058,-0.13913316,-0.34047845
377.0,-0.29103,-0.24087936,-0.14447577,-0.33728296
378.0,-0.29075,-0.23721495,-0.14168246,-0.33274746
379.0,-0.29047,-0.22241573,-0.120574415,-0.32425705
380.0,-0.29012,-0.22724646,-0.13131785,-0.32317507
381.0,-0.28972,-0.232864,-0.14098445,-0.32474357
382.0,-0.28927,-0.22530738,-0.14115569,-0.30945906
383.0,-0.28879,-0.22882105,-0.14545709,-0.31218502
384.0,-0.28827,-0.2313654,-0.1499261,-0.3128047
385.0,-0.28772,-0.22673425,-0.14075178,-0.31271672
386.0,-0.2871,-0.22906671,-0.15295324,-0.3051802
387.0,-0.28642,-0.22362687,-0.14433275,-0.302921
388.0,-0.28572,-0.21927896,-0.14637703,-0.2921809
389.0,-0.28496,-0.21325888,-0.14220066,-0.28431708
390.0,-0.28413,-0.21980453,-0.14629191,-0.29331714
391.0,-0.28327,-0.22133112,-0.15150899,-0.29115325
392.0,-0.28228,-0.20421892,-0.1360677,-0.27237016
393.0,-0.28126,-0.18747869,-0.10788961,-0.2670678
394.0,-0.2802,-0.19824472,-0.12141058,-0.27507886
395.0,-0.27903,-0.1963573,-0.11755618,-0.2751584
396.0,-0.27773,-0.20693055,-0.12888138,-0.2849797
397.0,-0.27632,-0.20598245,-0.12809452,-0.28387037
398.0,-0.27479,-0.1871029,-0.11003479,-0.264171
399.0,-0.27309,-0.17151171,-0.093326874,-0.24969655
400.0,-0.27117,-0.11909204,-0.044020906,-0.19416317
401.0,-0.26899,-0.12903123,-0.04921858,-0.20884387
402.0,-0.26649,-0.1248697,-0.047184892,-0.2025545
403.0,-0.26358,-0.112921566,-0.03669464,-0.18914849
404.0,-0.26021,-0.09526723,-0.018761791,-0.17177266
405.0,-0.25628,-0.07470588,0.0020898283,-0.15150158
406.0,-0.25171,-0.045699555,0.031325202,-0.12272431
407.0,-0.24644,-0.029541207,0.046383426,-0.105465844
408.0,-0.24033,-0.021295935,0.058356643,-0.10094851
409.0,-0.23334,-0.006034916,0.072128855,-0.08419869
410.0,-0.22536,0.019268889,0.09595057,-0.0574128
411.0,-0.21629,0.03879499,0.11778076,-0.040190775
412.0,-0.20611,0.047724716,0.12559521,-0.030145787
413.0,-0.19468,0.07019274,0.14729956,-0.006914079
414.0,-0.1821,0.078286916,0.15521148,0.0013623461
415.0,-0.1683,0.08240846,0.16170037,0.0031165555
416.0,-0.15326,0.091935605,0.17131063,0.012560569
417.0,-0.13703,0.10631786,0.18486086,0.02777487
418.0,-0.11968,0.11729829,0.195196,0.039400578
419.0,-0.10134,0.12480521,0.20325339,0.04635703
420.0,-0.082034,0.13478401,0.21412213,0.055445895
421.0,-0.06195,0.14804414,0.22698168,0.069106594
422.0,-0.041188,0.15535901,0.23301375,0.07770428
423.0,-0.019913,0.16127054,0.23909807,0.083443016
424.0,0.0016951,0.17192829,0.25048667,0.09336991
425.0,0.023461,0.17808592,0.25783902,0.09833284
426.0,0.045217,0.18599138,0.26601627,0.10596648
427.0,0.066796,0.190486,0.2705537,0.110418305
428.0,0.087985,0.20122601,0.2791024,0.123349614
429.0,0.10866,0.20697281,0.2838862,0.13005942
430.0,0.12865,0.21302013,0.2906218,0.13541847
431.0,0.14783,0.21834864,0.29573905,0.14095823
432.0,0.16606,0.22738782,0.30350792,0.1512677
433.0,0.1833,0.22811194,0.3043289,0.15189499
434.0,0.1994,0.23279467,0.30878568,0.15680367
435.0,0.21434,0.23946153,0.3142141,0.16470893
436.0,0.2281,0.23527211,0.30967897,0.16086523
437.0,0.24062,0.243631,0.31708515,0.17017686
438.0,0.25194,0.25019497,0.32378608,0.17660385
439.0,0.26204,0.25582156,0.32945898,0.18218413
440.0,0.27094,0.2544701,0.3275681,0.1813721
441.0,0.27871,0.26014844,0.33207482,0.18822205
442.0,0.28541,0.2615001,0.33391094,0.18908924
443.0,0.29104,0.26537886,0.33632755,0.19443017
444.0,0.29576,0.26856434,0.33809894,0.19902973
445.0,0.29958,0.2685055,0.33793616,0.19907485
446.0,0.30257,0.27283707,0.34120524,0.20446889
447.0,0.30486,0.27559152,0.34351525,0.2076678
448.0,0.30647,0.27513516,0.34315598,0.20711435
449.0,0.30753,0.28314248,0.35135886,0.2149261
450.0,0.30809,0.27697605,0.34632728,0.20762482
451.0,0.30823,0.2736198,0.34211004,0.20512956
452.0,0.30805,0.27579772,0.3429043,0.20869115
453.0,0.30757,0.2851985,0.35143566,0.21896134
454.0,0.30689,0.28241423,0.34941167,0.21541679
455.0,0.30604,0.28564662,0.35323972,0.21805352
456.0,0.30507,0.28957245,0.35624146,0.22290342
457.0,0.30404,0.29252642,0.35843936,0.22661349
458.0,0.30301,0.29491925,0.35812494,0.23171356
459.0,0.30196,0.29120243,0.3542586,0.22814626
460.0,0.30096,0.28830546,0.35259333,0.22401759
461.0,0.30004,0.29196116,0.3563431,0.22757924
462.0,0.29917,0.29674527,0.35877064,0.23471989
463.0,0.29838,0.2899822,0.352246,0.22771843
464.0,0.2977,0.2883737,0.3508758,0.22587162
465.0,0.29713,0.2902614,0.35318577,0.227337
466.0,0.29665,0.2925115,0.35432687,0.23069611
467.0,0.29628,0.2926503,0.35401046,0.23129015
468.0,0.29603,0.29549345,0.35620388,0.23478302
469.0,0.29585,0.29722965,0.35746872,0.23699057
470.0,0.29577,0.29695213,0.3568234,0.23708083
471.0,0.2957,0.2984948,0.35965997,0.23732962
472.0,0.29571,0.2981716,0.35837168,0.23797156
473.0,0.29581,0.29305002,0.35258865,0.23351139
474.0,0.2959,0.2934773,0.3507464,0.2362082
475.0,0.29604,0.28913,0.34496793,0.23329207
476.0,0.29616,0.28771165,0.34300187,0.23242143
477.0,0.29624,0.29067305,0.34406424,0.23728184
478.0,0.29634,0.28480324,0.33864346,0.23096302
479.0,0.29642,0.28971815,0.3426074,0.2368289
480.0,0.29644,0.2971779,0.34752196,0.24683386
481.0,0.29641,0.28923833,0.33904156,0.2394351
482.0,0.29633,0.29276624,0.34269652,0.24283597
483.0,0.29614,0.29605797,0.34433988,0.24777605
484.0,0.29589,0.30548477,0.35561803,0.2553515
485.0,0.29557,0.29961577,0.34608978,0.25314176
486.0,0.29515,0.29674694,0.34314844,0.25034544
487.0,0.29459,0.2921943,0.33917266,0.24521594
488.0,0.29391,0.29020512,0.3375056,0.24290463
489.0,0.29311,0.28466037,0.33080044,0.2385203
490.0,0.29216,0.28624654,0.33269948,0.23979358
491.0,0.29108,0.27523464,0.32254043,0.22792885
492.0,0.2898,0.27120692,0.31826955,0.22414428
493.0,0.28831,0.26800832,0.31672794,0.2192887
494.0,0.28656,0.2611742,0.31100875,0.21133965
495.0,0.28446,0.2533256,0.30314398,0.20350723
496.0,0.28199,0.243762,0.2935089,0.1940151
